PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,5,2,3,0.4,16.25,4,8,0.5,2,5,0.4,1,3,0.333,1,3,4,0,0,0,0,1,0,2,11,-10,15.8,0,0,17.0,503,494,50,370,516,483,500,129,425,447,80,489,475,503,491,505,505,523,522,504,478,57,1,476,490,280,506,228,33,503
1631260,AJ Green,AJ,1610612749,MIL,25.0,52,31,21,0.596,1176.6733333333334,134,314,0.427,113,268,0.422,19,21,0.905,13,106,119,68,27,28,6,3,117,35,400,78,719.8,0,0,768.0,125,72,319,154,164,222,213,342,56,83,41,323,345,44,371,242,270,237,297,227,338,117,467,285,208,103,245,228,33,232
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,10,4,6,0.4,69.76666666666667,11,27,0.407,4,10,0.4,1,2,0.5,0,9,9,12,5,1,0,3,5,1,27,15,53.8,0,0,54.0,462,460,94,370,463,453,452,392,402,425,80,489,482,470,512,465,476,418,445,479,478,117,61,495,458,172,465,228,33,459
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,36,24,12,0.667,972.8183333333334,167,327,0.511,44,106,0.415,86,108,0.796,57,119,176,113,45,18,9,28,56,86,464,201,880.7,2,0,851.0,296,175,171,88,206,182,204,116,213,235,49,119,124,224,109,211,178,142,212,303,284,425,258,139,176,39,218,124,33,211
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,44,26,18,0.591,550.1983333333334,72,174,0.414,39,111,0.351,26,30,0.867,10,45,55,54,22,17,6,7,48,33,209,38,403.0,0,0,403.0,220,139,263,159,312,313,301,376,227,230,222,296,313,92,395,357,368,273,324,313,338,192,238,295,307,135,327,228,33,321
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,23,13,10,0.565,510.895,71,147,0.483,27,72,0.375,36,39,0.923,16,68,84,32,19,13,9,10,58,35,205,79,400.8,0,0,392.0,390,317,143,189,317,314,324,161,262,275,142,256,286,34,338,302,316,347,340,349,284,246,264,285,309,102,330,228,33,327
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,59,48,11,0.814,1314.9366666666667,263,524,0.502,95,244,0.389,50,58,0.862,67,154,221,95,50,45,16,27,79,46,671,373,1211.7,2,0,1204.0,10,2,159,39,136,88,106,128,87,99,105,198,224,95,88,140,126,180,195,122,194,418,343,248,97,11,124,124,33,117
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,23,20,3,0.87,93.53333333333333,13,56,0.232,8,45,0.178,0,0,0.0,3,5,8,0,1,5,2,1,8,0,34,-11,63.6,0,0,64.0,390,221,50,20,452,446,413,515,363,322,445,511,512,511,461,486,482,523,499,423,418,57,84,522,450,283,455,228,33,454
1641766,Adama Sanogo,Adama,1610612741,CHI,23.0,4,2,2,0.5,21.498333333333335,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,511,494,29,258,507,483,506,55,462,513,462,511,512,511,434,525,492,503,499,504,478,57,17,495,501,263,508,228,33,509
1641737,Adem Bona,Adem,1610612755,PHI,22.0,40,10,30,0.25,445.1483333333333,44,63,0.698,0,0,0.0,31,48,0.646,41,74,115,11,27,8,30,6,79,43,119,-26,360.5,0,0,321.0,255,371,469,466,344,361,405,16,462,513,462,276,254,415,163,294,279,427,297,392,90,176,343,260,359,340,344,228,33,346
1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,34,29,5,0.853,561.1983333333334,84,166,0.506,22,51,0.431,28,33,0.848,17,50,67,57,28,24,3,11,59,50,218,114,436.9,1,0,418.0,310,98,81,24,310,297,309,122,281,310,31,288,299,122,324,342,351,267,286,264,390,258,266,236,299,86,319,151,33,316
201143,Al Horford,Al,1610612738,BOS,39.0,47,32,15,0.681,1258.1516666666666,135,331,0.408,84,233,0.361,16,18,0.889,53,209,262,87,32,26,40,6,67,20,370,262,980.9,3,0,935.0,181,60,211,81,147,220,201,391,107,110,197,341,364,59,117,76,88,200,268,250,54,176,290,349,221,26,186,109,33,184
202692,Alec Burks,Alec,1610612748,MIA,33.0,33,17,16,0.515,561.3533333333334,63,157,0.401,46,112,0.411,31,40,0.775,13,73,86,35,14,20,6,4,23,30,203,55,422.7,0,0,422.0,317,263,229,250,309,329,319,413,208,228,55,276,277,252,371,296,313,334,369,290,338,142,156,302,312,121,323,228,33,314
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,37,30,7,0.811,714.4633333333334,86,208,0.413,42,122,0.344,13,16,0.813,28,77,105,99,23,63,18,11,74,30,227,269,721.5,0,0,635.0,286,85,111,40,267,291,277,377,219,220,238,364,377,199,248,287,287,171,314,40,176,258,320,302,292,25,244,228,33,259
1642505,Alex Ducas,Alex,1610612760,OKC,24.0,16,15,1,0.938,73.695,8,22,0.364,7,16,0.438,0,0,0.0,5,10,15,2,2,2,0,1,5,0,23,-24,48.0,0,0,51.0,437,284,10,10,461,467,465,464,373,402,27,511,512,511,434,461,457,486,483,462,478,57,61,522,467,334,471,228,33,463
203458,Alex Len,Alex,1610612747,LAL,32.0,39,20,19,0.513,292.94,24,46,0.522,1,6,0.167,7,13,0.538,27,46,73,32,11,8,19,5,39,16,56,-95,261.6,0,0,216.0,262,221,282,251,383,414,429,99,439,439,447,416,393,464,255,355,337,347,398,392,167,159,208,372,425,459,370,228,33,381
1642024,Alex Reese,Alex,1610612755,PHI,26.0,1,1,0,1.0,1.8833333333333333,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,2,3,3.2,0,0,3.0,534,509,1,1,543,519,533,1,462,513,462,511,512,511,491,534,530,523,522,504,478,1,1,522,528,221,536,228,33,534
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,44,6,38,0.136,1181.035,193,491,0.393,66,212,0.311,59,95,0.621,77,211,288,97,61,31,67,22,103,66,511,-408,1235.1,6,0,1158.0,220,434,527,516,162,156,116,425,149,130,324,177,145,437,65,73,71,177,153,204,18,380,419,192,163,540,121,78,33,130
1631214,Alondes Williams,Alondes,1610612765,DET,25.0,1,0,1,0.0,3.716666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5,6,6.5,0,0,7.0,534,528,10,528,539,505,528,1,439,494,1,511,512,511,512,534,537,503,522,504,478,1,1,522,514,209,526,228,33,525
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,57,37,20,0.649,1776.2966666666666,424,868,0.488,18,79,0.228,224,323,0.693,191,410,601,274,143,65,45,63,161,314,1090,256,2409.2,36,3,2203.0,40,23,303,107,47,27,28,155,299,261,424,20,13,368,7,12,6,33,23,37,43,538,533,4,33,28,13,6,8,20
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,57,35,22,0.614,1840.5666666666666,309,562,0.55,20,73,0.274,153,216,0.708,156,312,468,201,119,77,73,41,136,153,791,121,1985.1,16,3,1780.0,40,35,344,139,35,68,92,74,293,272,382,56,43,355,12,23,18,66,46,18,14,488,509,60,75,83,37,29,8,46
1629599,Amir Coffey,Amir,1610612746,LAC,28.0,57,31,26,0.544,1479.305,204,433,0.471,87,213,0.408,103,113,0.912,29,109,138,65,42,31,7,24,101,83,598,-30,933.1,0,0,964.0,40,72,412,212,98,138,146,195,101,128,60,98,119,41,235,235,242,246,222,204,320,399,412,149,124,349,200,228,33,180
203083,Andre Drummond,Andre,1610612755,PHI,31.0,35,11,24,0.314,642.45,97,188,0.516,1,13,0.077,50,82,0.61,92,175,267,27,53,36,14,21,82,62,245,-164,702.9,4,0,640.0,304,347,377,429,284,275,291,107,439,412,458,198,168,443,51,115,84,366,182,173,206,373,358,202,285,496,249,93,33,257
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,54,30,24,0.556,888.775,82,175,0.469,27,70,0.386,10,18,0.556,58,106,164,75,51,30,13,5,105,24,201,-36,588.3,0,0,553.0,93,85,377,203,230,298,299,206,262,279,113,390,364,458,108,242,200,217,194,213,215,159,431,334,316,363,278,228,33,284
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,42,27,15,0.643,1200.73,163,347,0.47,30,100,0.3,77,98,0.786,22,112,134,206,80,53,6,24,99,86,433,115,999.8,0,0,921.0,238,122,211,113,156,187,194,201,252,243,344,134,138,238,293,230,249,64,100,78,338,399,409,139,195,85,177,228,33,190
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,49,23,26,0.469,1508.1416666666667,293,674,0.435,105,286,0.367,171,218,0.784,76,150,226,122,72,47,39,56,80,150,862,-91,1502.2,3,0,1487.0,162,191,412,301,94,70,57,316,72,67,172,41,42,241,68,148,115,129,115,110,58,528,348,63,62,453,84,109,33,77
1629014,Anfernee Simons,Anfernee,1610612757,POR,26.0,56,24,32,0.429,1813.9666666666667,367,863,0.425,168,456,0.368,138,154,0.896,17,137,154,282,120,47,5,52,97,111,1040,-190,1683.8,2,0,1748.0,58,175,491,342,42,43,29,348,13,14,166,64,82,55,324,173,221,31,44,110,360,522,401,100,39,504,58,124,33,49
1641710,Anthony Black,Anthony,1610612753,ORL,21.0,57,27,30,0.474,1395.015,183,441,0.415,40,136,0.294,115,153,0.752,35,122,157,185,103,60,31,36,125,140,521,-65,1156.9,0,0,1085.0,40,122,469,295,116,163,143,374,224,206,358,83,83,287,203,205,214,78,60,50,86,467,488,72,160,420,136,228,33,145
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,43,25,18,0.581,1470.42,410,776,0.528,30,96,0.313,257,327,0.786,123,392,515,148,94,54,93,34,82,238,1107,30,2294.0,33,0,2094.0,227,153,263,166,100,30,43,91,252,246,320,13,12,237,26,13,14,102,77,70,7,455,358,18,31,149,18,9,33,26
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,58,31,27,0.534,2122.641666666667,526,1204,0.437,238,587,0.405,294,352,0.835,47,301,348,266,199,67,37,45,111,251,1584,147,2513.6,5,0,2644.0,23,72,424,225,2,4,2,306,2,1,65,7,8,144,140,27,49,37,5,32,62,501,452,11,2,67,9,84,33,4
1630264,Anthony Gill,Anthony,1610612764,WAS,32.0,38,5,33,0.132,215.67166666666665,23,45,0.511,6,16,0.375,17,28,0.607,6,25,31,7,6,6,2,4,18,19,69,-36,134.7,0,0,129.0,277,445,496,517,409,416,431,114,384,402,142,335,321,444,421,404,412,448,432,411,418,142,133,357,406,363,429,228,33,429
1641810,Antonio Reeves,Antonio,1610612740,NOP,22.0,28,4,24,0.143,285.71,45,108,0.417,19,58,0.328,8,9,0.889,10,20,30,20,10,10,2,8,14,7,117,-43,209.0,0,0,210.0,355,460,377,515,388,359,350,369,298,300,287,407,424,59,395,418,415,390,406,375,418,209,113,432,361,379,391,228,33,385
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,25,17,8,0.68,217.365,21,31,0.677,0,0,0.0,6,13,0.462,14,37,51,11,21,1,15,2,32,13,48,-63,152.7,0,0,142.0,376,263,125,82,408,425,447,20,462,513,462,427,393,495,358,370,374,427,333,479,199,94,185,395,439,415,420,228,33,421
1642422,Armel Traoré,Armel,1610612747,LAL,22.0,9,5,4,0.556,66.66666666666667,6,19,0.316,0,7,0.0,2,7,0.286,2,13,15,1,3,4,2,1,6,5,14,-49,48.5,0,0,42.0,471,445,66,203,468,475,471,491,462,436,462,462,437,505,473,449,457,503,468,431,418,57,72,445,482,388,470,228,33,477
1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,39,24,15,0.615,834.5233333333333,158,284,0.556,7,32,0.219,50,86,0.581,65,127,192,90,54,72,18,26,106,82,373,36,954.4,1,0,842.0,262,175,211,137,247,193,230,69,373,351,428,198,161,453,92,197,157,195,177,27,176,412,437,153,218,138,192,151,33,215
1630559,Austin Reaves,Austin,1610612747,LAL,27.0,53,35,18,0.66,1818.5316666666668,323,723,0.447,135,373,0.362,229,264,0.867,45,180,225,317,129,60,15,33,106,234,1010,164,1851.5,7,1,1837.0,109,35,263,97,41,58,51,274,33,26,195,18,20,90,150,107,118,22,37,50,199,447,437,19,44,57,45,71,16,43
1630245,Ayo Dosunmu,Ayo,1610612741,CHI,25.0,46,17,29,0.37,1393.8833333333334,221,449,0.492,62,189,0.328,62,79,0.785,26,135,161,208,69,43,18,34,105,63,566,-234,1185.2,1,1,1119.0,195,263,458,402,117,126,141,149,158,156,285,169,175,240,261,181,206,63,123,137,176,455,431,199,139,526,131,151,16,139
1628389,Bam Adebayo,Bam,1610612748,MIA,27.0,56,28,28,0.5,1910.0833333333333,370,768,0.482,45,145,0.31,164,223,0.735,143,412,555,242,120,68,41,33,124,214,949,-36,2185.0,30,1,2009.0,58,110,438,258,26,41,45,164,210,199,327,47,35,318,18,11,12,49,44,30,52,447,485,24,50,363,26,11,16,31
1631248,Baylor Scheierman,Baylor,1610612738,BOS,24.0,15,13,2,0.867,89.68833333333333,4,24,0.167,1,15,0.067,3,4,0.75,3,17,20,7,1,3,0,1,6,5,12,-7,54.5,0,0,46.0,442,317,29,21,455,483,461,526,439,407,459,452,457,288,461,429,441,448,499,444,478,57,72,445,488,271,463,228,33,473
1641767,Ben Sheppard,Ben,1610612754,IND,23.0,44,27,17,0.614,897.7933333333333,94,215,0.437,53,146,0.363,18,20,0.9,30,88,118,53,15,28,12,8,88,28,259,13,585.1,0,0,563.0,220,122,246,141,227,280,271,305,193,196,189,328,350,47,227,272,273,276,365,227,230,209,378,314,277,181,279,228,33,280
1627732,Ben Simmons,Ben,1610612746,LAC,28.0,38,15,23,0.395,930.41,107,194,0.552,0,0,0.0,24,33,0.727,36,162,198,254,90,33,19,9,92,52,238,-89,922.6,1,0,794.0,277,284,356,383,218,262,286,73,462,513,462,303,299,326,195,125,147,43,81,190,167,234,392,227,287,450,203,151,33,220
1631097,Bennedict Mathurin,Bennedict,1610612754,IND,22.0,55,31,24,0.564,1695.3283333333334,313,659,0.475,77,223,0.345,186,225,0.827,66,235,301,103,103,32,22,43,128,166,889,71,1463.7,7,0,1478.0,77,72,377,191,56,65,66,180,127,115,235,32,34,166,90,59,68,157,60,199,135,493,492,47,58,110,91,71,33,79
1641731,Bilal Coulibaly,Bilal,1610612764,WAS,20.0,55,11,44,0.2,1836.075,249,592,0.421,61,218,0.28,132,176,0.75,80,194,274,194,117,71,38,46,133,138,691,-586,1520.8,2,1,1438.0,77,347,540,498,36,105,83,360,162,125,376,71,61,288,60,89,80,70,48,28,60,505,502,73,90,542,79,124,16,85
202687,Bismack Biyombo,Bismack,1610612759,SAS,32.0,7,2,5,0.286,114.01333333333334,19,28,0.679,0,0,0.0,2,7,0.286,9,24,33,6,7,4,7,4,13,6,40,-35,114.6,2,0,101.0,485,494,81,444,446,430,450,19,462,513,462,462,437,505,402,407,410,456,426,431,320,142,109,440,444,361,439,124,33,441
1631104,Blake Wesley,Blake,1610612759,SAS,22.0,35,15,20,0.429,303.9866666666667,41,88,0.466,5,24,0.208,18,27,0.667,6,18,24,66,28,14,3,8,17,26,105,32,255.8,0,0,234.0,304,284,303,342,375,366,370,216,395,377,434,328,324,390,421,424,428,244,286,339,390,209,124,325,375,145,373,228,33,373
1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,46,27,19,0.587,1160.1133333333332,258,557,0.463,60,165,0.364,55,67,0.821,83,300,383,102,56,31,25,29,87,67,631,68,1355.6,9,0,1288.0,195,122,282,162,167,98,95,224,166,174,186,183,200,183,56,28,33,161,169,204,114,426,376,189,115,113,100,50,33,106
1641752,Bobi Klintman,Bobi,1610612765,DET,22.0,6,4,2,0.667,17.25,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,1,0,1,0,2,1,0,4,8.3,0,0,7.0,493,460,29,88,513,531,528,531,462,494,462,511,512,511,512,493,505,503,499,504,448,1,34,495,533,219,524,228,33,525
